"Author_id","Isbn"
649,"1405200677"
3692,"0881849804"
6604,"0861122488"
7080,"057121861X"
9591,"0892434090"
3403,"0061057797"
3403,"0061000116"
650,"0525447091"
650,"0451155580"
650,"0416196772"
5560,"0525483357"
10630,"0717288234"
1620,"0525444459"
1620,"0525444440"
1620,"0525463313"
1620,"0140361227"
1620,"0525444467"
1620,"0525462325"
1620,"0140361219"
6723,"0312104456"
12458,"0553203630"
1782,"0892132922"
1782,"0892133260"
1782,"0892131012"
1782,"0892131187"
1782,"0912776412"
1783,"0892132701"
12423,"0441783295"
4459,"0446602299"
6340,"0899088236"
8564,"0030211212"
2773,"0743236777"
2773,"0451209117"
2773,"1575664054"
6582,"0312971303"
7395,"0449220273"
11432,"0802725228"
12454,"1558701311"
3705,"096788330X"
7186,"1857997573"
7186,"0375402721"
13218,"0688136230"
282,"0380729768"
282,"0380730138"
282,"038072975X"
282,"0688180639"
282,"0380730774"
4138,"0452281431"
4138,"0452281458"
4138,"0452281423"
5488,"0399151648"
11239,"0440464854"
11239,"0440495717"
9267,"0892131144"
669,"0553574167"
669,"0671700103"
669,"0553574159"
669,"0553574175"
1888,"067166865X"
13401,"0881842214"
12605,"0944072917"
8134,"0553373730"
1217,"0874493803"
8955,"0811828379"
4735,"0385044011"
10945,"0965735974"
10945,"0684827107"
3189,"0575075546"
5925,"0679405135"
232,"0156814161"
232,"0679642382"
232,"0679735909"
232,"0679751343"
232,"0679738290"
232,"0679405127"
232,"0394586239"
232,"0679742565"
925,"0684825821"
5890,"0671319930"
5836,"0451528670"
7396,"0446405264"
7396,"0380731630"
7396,"0449149005"
7396,"0446400564"
7396,"0446404039"
7396,"0449148297"
7397,"0445408642"
7397,"0446400408"
7397,"0446403083"
10012,"0743232933"
10537,"0740713957"
12413,"1400060265"
12550,"0312265611"
8766,"0671441035"
11541,"0934211477"
7232,"0789300354"
7013,"0028612671"
10785,"0743411943"
3845,"0877201358"
9791,"0380728826"
9791,"0393038548"
11632,"0836279077"
3265,"0679752927"
3265,"0060174056"
4571,"0671785141"
11031,"0694016446"
400,"0345451260"
400,"0345470621"
6230,"0789426277"
3638,"0451188497"
1395,"1587991039"
3695,"006008118X"
810,"1573229385"
6138,"0375758232"
2847,"0385720726"
2847,"0385501676"
2847,"0385509529"
6064,"0380790718"
13745,"0826452310"
4307,"0064472612"
12393,"0394721039"
12415,"0671701592"
1214,"2070415686"
12875,"0671770438"
10950,"0912310782"
10120,"038081806X"
10120,"0380818078"
10429,"0684824728"
1874,"0380570009"
6914,"0152045708"
9475,"0786813334"
442,"0312288115"
10404,"0671775464"
11643,"096146206X"
390,"0767903579"
390,"0140265988"
6585,"1863736522"
13645,"1568304706"
13351,"0883441047"
12973,"0536597073"
7348,"0920656080"
7348,"0920656404"
7349,"0920656943"
1367,"0850315336"
10678,"0684863871"
961,"0551031085"
961,"0006276199"
961,"0551030682"
961,"0551031123"
962,"0551032510"
1266,"0375504036"
1266,"0345438329"
1266,"0345445848"
1266,"0345445856"
1266,"3453870212"
1266,"1400060052"
1266,"0345459202"
1266,"0375506187"
6995,"0743430344"
9327,"1559723009"
6532,"0373225806"
6532,"0373226276"
6532,"0373226780"
11637,"0970351704"
9017,"1869503171"
7500,"0440503310"
8455,"0312261357"
5509,"1594140812"
765,"0671704664"
765,"0425089002"
765,"0425173755"
765,"0451199871"
765,"2013218923"
765,"0671705997"
765,"0312981651"
765,"067170091X"
765,"0553256785"
765,"0425104060"
765,"0425087700"
765,"0312979819"
765,"0440186927"
765,"2253003964"
765,"0312979479"
765,"0425174727"
765,"039607412X"
765,"0425080005"
765,"0440158613"
765,"0451200993"
765,"0425067858"
765,"0425098451"
765,"042513024X"
765,"0671464965"
765,"0425175456"
765,"0425173909"
765,"0425098540"
765,"0451200187"
765,"225302001X"
765,"0553350072"
765,"067142095X"
765,"0425068099"
765,"0425068064"
765,"0451201191"
765,"0425129632"
765,"042509961X"
765,"0425129608"
765,"2702413722"
765,"2702408648"
765,"067170463X"
765,"0425099148"
765,"0312975120"
765,"0451199863"
765,"0553235575"
765,"0312981600"
765,"0061003638"
765,"2702426328"
765,"0425093255"
765,"0396088678"
765,"2253009199"
765,"0312981686"
765,"0451200535"
765,"0451201132"
765,"0671415948"
765,"0425103528"
765,"0425067866"
765,"0440159229"
765,"0425091805"
765,"0061003786"
765,"0451199898"
765,"0425103633"
765,"0425129616"
765,"0425108589"
765,"0425067750"
765,"042506803X"
765,"0061002860"
765,"0425130258"
765,"0451201205"
765,"0440192285"
765,"0553241443"
765,"0396073735"
765,"0312979738"
765,"0451199928"
765,"0425129586"
765,"0671542125"
765,"0425169251"
765,"0440152305"
765,"0425105695"
765,"0515095524"
765,"0671823337"
765,"0425173917"
765,"3502506809"
765,"0425174735"
765,"0061003689"
765,"0425067769"
765,"0425100413"
765,"0425177416"
5115,"0312979509"
12394,"0441240984"
1600,"0812970101"
11725,"157270120X"
6030,"2020315599"
4468,"078688214X"
11916,"2020301016"
11903,"2264027312"
4359,"0747545634"
13691,"3442446015"
2113,"3462029916"
13622,"1591821088"
13622,"1591822424"
4664,"0525468633"
2210,"0500280673"
2100,"0875093663"
2681,"1871512417"
4576,"0385492243"
4576,"0385492235"
2515,"0446691216"
2515,"0446674346"
6530,"0373226772"
6530,"0373222467"
6530,"0373810431"
12839,"0812564596"
12839,"0812568680"
8700,"1570981094"
5854,"0394717023"
8716,"3546002474"
13639,"1591823668"
8378,"344242366X"
6517,"344244991X"
1453,"1569314195"
10812,"1569471568"
6713,"9723704552"
213,"0525947647"
213,"038531809X"
213,"044022330X"
213,"0385314744"
3756,"0440504708"
8774,"0380712202"
13085,"1555136591"
7936,"0684868938"
807,"0679779159"
807,"0330334360"
807,"0375420827"
11978,"2210422701"
573,"2253005274"
3733,"0751516880"
7016,"0812531884"
9773,"0671526723"
3218,"0060802162"
8860,"051788139X"
12958,"066991066X"
1427,"0060989270"
1427,"0060394447"
10387,"0864922299"
1878,"0345255577"
1878,"0345468392"
1878,"0441516645"
1878,"0345296591"
1878,"0345443004"
1878,"0446609307"
1878,"0345260627"
1878,"0441132456"
1878,"0446341819"
1878,"042507255X"
1878,"0345332857"
1878,"0441694543"
1878,"0441646611"
1878,"0345346890"
1878,"0345316576"
1878,"0345277996"
1878,"0446608041"
9422,"0812524608"
12717,"0345272129"
4150,"0748702784"
1430,"006093395X"
4379,"0679413138"
4379,"0375759999"
4379,"0375758275"
4379,"0375758585"
2186,"0152017976"
2186,"0006742939"
2186,"0152017984"
7898,"1858811945"
